Release, Total, TP, FN, TN, FOR, noise, Recall, Total Releases,Relative,Project
20,1104.0,397.0,36.0,671.0,0.05091937765205092,0.03260869565217391,0.9168591224018475,34,0.5757575757575758,TEZ
21,1104.0,397.0,36.0,671.0,0.05091937765205092,0.03260869565217391,0.9168591224018475,34,0.6060606060606061,TEZ
22,1104.0,397.0,36.0,671.0,0.05091937765205092,0.03260869565217391,0.9168591224018475,34,0.6363636363636364,TEZ
23,1106.0,405.0,30.0,671.0,0.042796005706134094,0.027124773960216998,0.9310344827586207,34,0.6666666666666666,TEZ
24,1106.0,405.0,30.0,671.0,0.042796005706134094,0.027124773960216998,0.9310344827586207,34,0.696969696969697,TEZ
25,1108.0,411.0,26.0,671.0,0.03730272596843615,0.023465703971119134,0.9405034324942791,34,0.7272727272727273,TEZ
26,1110.0,413.0,26.0,671.0,0.03730272596843615,0.023423423423423424,0.9407744874715261,34,0.7575757575757576,TEZ
27,1110.0,413.0,26.0,671.0,0.03730272596843615,0.023423423423423424,0.9407744874715261,34,0.7878787878787878,TEZ
28,1110.0,415.0,24.0,671.0,0.034532374100719423,0.021621621621621623,0.9453302961275627,34,0.8181818181818182,TEZ
29,1110.0,415.0,24.0,671.0,0.034532374100719423,0.021621621621621623,0.9453302961275627,34,0.8484848484848485,TEZ
30,1119.0,439.0,9.0,671.0,0.013235294117647059,0.00804289544235925,0.9799107142857143,34,0.8787878787878788,TEZ
31,1121.0,450.0,0.0,671.0,0.0,0.0,1.0,34,0.9090909090909092,TEZ
32,1123.0,452.0,0.0,671.0,0.0,0.0,1.0,34,0.9393939393939394,TEZ
33,1123.0,452.0,0.0,671.0,0.0,0.0,1.0,34,0.9696969696969696,TEZ
34,1123.0,452.0,0.0,671.0,0.0,0.0,1.0,34,1.0,TEZ
2,0.0,0.0,0.0,0.0,/0,/0,/0,46,0.022222222222222227,AVRO
3,159.0,0.0,14.0,145.0,0.0880503144654,0.0880503144654,0.0,46,0.04444444444444445,AVRO
4,320.0,24.0,10.0,286.0,0.0337837837838,0.03125,0.705882352941,46,0.06666666666666668,AVRO
5,320.0,24.0,10.0,286.0,0.0337837837838,0.03125,0.705882352941,46,0.08888888888888889,AVRO
6,320.0,26.0,8.0,286.0,0.0272108843537,0.025,0.764705882353,46,0.1111111111111111,AVRO
7,320.0,30.0,4.0,286.0,0.0137931034483,0.0125,0.882352941176,46,0.13333333333333333,AVRO
8,340.0,50.0,4.0,286.0,0.0137931034483,0.0117647058824,0.925925925926,46,0.15555555555555556,AVRO
9,340.0,50.0,4.0,286.0,0.0137931034483,0.0117647058824,0.925925925926,46,0.17777777777777778,AVRO
10,344.0,54.0,4.0,286.0,0.0137931034483,0.0116279069767,0.931034482759,46,0.2,AVRO
11,344.0,54.0,4.0,286.0,0.0137931034483,0.0116279069767,0.931034482759,46,0.2222222222222222,AVRO
12,352.0,64.0,2.0,286.0,0.00694444444444,0.00568181818182,0.969696969697,46,0.24444444444444444,AVRO
13,362.0,74.0,2.0,286.0,0.00694444444444,0.00552486187845,0.973684210526,46,0.26666666666666666,AVRO
14,362.0,74.0,2.0,286.0,0.00694444444444,0.00552486187845,0.973684210526,46,0.2888888888888889,AVRO
15,362.0,74.0,2.0,286.0,0.00694444444444,0.00552486187845,0.973684210526,46,0.3111111111111111,AVRO
16,362.0,74.0,2.0,286.0,0.00694444444444,0.00552486187845,0.973684210526,46,0.3333333333333333,AVRO
17,362.0,74.0,2.0,286.0,0.00694444444444,0.00552486187845,0.973684210526,46,0.3555555555555556,AVRO
18,366.0,78.0,2.0,286.0,0.00694444444444,0.00546448087432,0.975,46,0.37777777777777777,AVRO
19,366.0,78.0,2.0,286.0,0.00694444444444,0.00546448087432,0.975,46,0.4,AVRO
20,366.0,78.0,2.0,286.0,0.00694444444444,0.00546448087432,0.975,46,0.4222222222222222,AVRO
21,370.0,82.0,2.0,286.0,0.00694444444444,0.00540540540541,0.97619047619,46,0.4444444444444444,AVRO
22,370.0,82.0,2.0,286.0,0.00694444444444,0.00540540540541,0.97619047619,46,0.4666666666666667,AVRO
23,370.0,82.0,2.0,286.0,0.00694444444444,0.00540540540541,0.97619047619,46,0.4888888888888889,AVRO
24,370.0,82.0,2.0,286.0,0.00694444444444,0.00540540540541,0.97619047619,46,0.5111111111111111,AVRO
25,370.0,82.0,2.0,286.0,0.00694444444444,0.00540540540541,0.97619047619,46,0.5333333333333333,AVRO
26,372.0,84.0,2.0,286.0,0.00694444444444,0.00537634408602,0.976744186047,46,0.5555555555555556,AVRO
27,374.0,86.0,2.0,286.0,0.00694444444444,0.00534759358289,0.977272727273,46,0.5777777777777777,AVRO
28,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.6,AVRO
29,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.6222222222222222,AVRO
30,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.6444444444444445,AVRO
31,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.6666666666666666,AVRO
32,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.6888888888888889,AVRO
33,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.7111111111111111,AVRO
34,384.0,96.0,2.0,286.0,0.00694444444444,0.00520833333333,0.979591836735,46,0.7333333333333333,AVRO
35,385.0,98.0,1.0,286.0,0.00348432055749,0.0025974025974,0.989898989899,46,0.7555555555555555,AVRO
36,385.0,98.0,1.0,286.0,0.00348432055749,0.0025974025974,0.989898989899,46,0.7777777777777778,AVRO
37,385.0,98.0,1.0,286.0,0.00348432055749,0.0025974025974,0.989898989899,46,0.8,AVRO
38,391.0,104.0,1.0,286.0,0.00348432055749,0.00255754475703,0.990476190476,46,0.8222222222222222,AVRO
39,393.0,106.0,1.0,286.0,0.00348432055749,0.00254452926209,0.990654205607,46,0.8444444444444444,AVRO
40,393.0,106.0,1.0,286.0,0.00348432055749,0.00254452926209,0.990654205607,46,0.8666666666666667,AVRO
41,395.0,108.0,1.0,286.0,0.00348432055749,0.00253164556962,0.990825688073,46,0.8888888888888888,AVRO
42,395.0,108.0,1.0,286.0,0.00348432055749,0.00253164556962,0.990825688073,46,0.9111111111111112,AVRO
43,400.0,114.0,0.0,286.0,0.0,0.0,1.0,46,0.9333333333333332,AVRO
44,400.0,114.0,0.0,286.0,0.0,0.0,1.0,46,0.9555555555555556,AVRO
45,400.0,114.0,0.0,286.0,0.0,0.0,1.0,46,0.9777777777777776,AVRO
46,400.0,114.0,0.0,286.0,0.0,0.0,1.0,46,1.0,AVRO
2,0.0,0.0,0.0,0.0,/0,/0,/0,11,0.1,CHUKWA
3,449.0,0.0,172.0,277.0,0.3830734966592428,0.3830734966592428,0.0,11,0.2,CHUKWA
4,897.0,0.0,344.0,553.0,0.3835005574136009,0.3835005574136009,0.0,11,0.3,CHUKWA
5,897.0,0.0,344.0,553.0,0.3835005574136009,0.3835005574136009,0.0,11,0.4,CHUKWA
6,897.0,0.0,344.0,553.0,0.3835005574136009,0.3835005574136009,0.0,11,0.5,CHUKWA
7,929.0,376.0,0.0,553.0,0.0,0.0,1.0,11,0.6,CHUKWA
8,929.0,376.0,0.0,553.0,0.0,0.0,1.0,11,0.7,CHUKWA
