Bug,Releases Slept,Project
TAP5-652,4,TAP5
TAP5-653,0,TAP5
TAP5-1551,1,TAP5
TAP5-1555,2,TAP5
TAP5-1,1,TAP5
TAP5-1227,6,TAP5
TAP5-2025,4,TAP5
TAP5-2027,69,TAP5
TAP5-832,11,TAP5
TAP5-1636,8,TAP5
TAP5-728,1,TAP5
TAP5-1735,12,TAP5
TAP5-724,11,TAP5
TAP5-1736,48,TAP5
TAP5-1128,5,TAP5
TAP5-1080,2,TAP5
TAP5-1086,2,TAP5
TAP5-1991,3,TAP5
TAP5-341,5,TAP5
TAP5-1992,3,TAP5
TAP5-1995,3,TAP5
TAP5-349,10,TAP5
TAP5-2206,34,TAP5
TAP5-1393,0,TAP5
TAP5-1392,3,TAP5
TAP5-1011,3,TAP5
TAP5-337,1,TAP5
TAP5-1329,6,TAP5
TAP5-332,1,TAP5
TAP5-998,4,TAP5
TAP5-230,1,TAP5
TAP5-233,1,TAP5
TAP5-698,11,TAP5
TAP5-2306,36,TAP5
TAP5-1906,1,TAP5
TAP5-39,7,TAP5
TAP5-1511,28,TAP5
TAP5-2270,68,TAP5
TAP5-2273,73,TAP5
TAP5-2275,24,TAP5
TAP5-35,19,TAP5
TAP5-1305,55,TAP5
TAP5-23,1,TAP5
TAP5-767,0,TAP5
TAP5-603,3,TAP5
TAP5-602,0,TAP5
TAP5-1428,3,TAP5
TAP5-1422,3,TAP5
TAP5-1836,0,TAP5
TAP5-1837,71,TAP5
TAP5-2010,0,TAP5
TAP5-1831,0,TAP5
TAP5-940,2,TAP5
TAP5-947,1,TAP5
TAP5-944,17,TAP5
TAP5-945,0,TAP5
TAP5-266,12,TAP5
TAP5-2120,9,TAP5
TAP5-1880,0,TAP5
TAP5-1885,43,TAP5
TAP5-2084,8,TAP5
TAP5-1117,7,TAP5
TAP5-894,6,TAP5
TAP5-891,7,TAP5
TAP5-892,11,TAP5
TAP5-898,2,TAP5
TAP5-413,0,TAP5
TAP5-1493,54,TAP5
TAP5-770,3,TAP5
TAP5-1018,2,TAP5
TAP5-2331,73,TAP5
TAP5-1949,1,TAP5
TAP5-1345,0,TAP5
TAP5-308,1,TAP5
TAP5-304,1,TAP5
TAP5-305,1,TAP5
TAP5-302,15,TAP5
TILES-416,11,TILES
TILES-104,0,TILES
TILES-469,4,TILES
TILES-111,1,TILES
TILES-574,3,TILES
TILES-222,3,TILES
TILES-118,2,TILES
TILES-117,2,TILES
TILES-151,4,TILES
TILES-175,4,TILES
TILES-421,3,TILES
TILES-232,3,TILES
TILES-255,6,TILES
TILES-230,6,TILES
TILES-161,1,TILES
TILES-346,10,TILES
TILES-404,11,TILES
TILES-322,1,TILES
TILES-356,8,TILES
TILES-276,4,TILES
TILES-137,2,TILES
TILES-441,0,TILES
TILES-138,2,TILES
TILES-464,5,TILES
TILES-307,1,TILES
TILES-348,2,TILES
TILES-349,10,TILES
TILES-402,0,TILES
TILES-339,8,TILES
TILES-468,13,TILES
TILES-429,8,TILES
TILES-452,5,TILES
TILES-466,4,TILES
TILES-225,5,TILES
TILES-573,1,TILES
TILES-388,3,TILES
TILES-203,5,TILES
TILES-451,12,TILES
TILES-305,1,TILES
TILES-142,2,TILES
TILES-204,5,TILES
TILES-513,0,TILES
TILES-224,5,TILES
TILES-209,5,TILES
TILES-437,0,TILES
TILES-430,12,TILES
TILES-223,5,TILES
TILES-444,5,TILES
TILES-122,2,TILES
TILES-534,0,TILES
